Petauke Explorers  Yesterday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Petauke Explorers  Yesterday
7:45  -  7:59,60760177,Eastern,Petauke,Rural,Male,1,None,C2,Completed high School,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
7:00  -  7:14,60760177,Eastern,Petauke,Rural,Male,1,None,C2,Completed high School,Other Christian,Self employed,D,Under K 849,Yes,35 – 44,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
10:00  -  10:14,60772562,Eastern,Petauke,Rural,Female,1,None,C1,Completed high School,Other Christian,Self employed,C2,"K 4,628   -  K 5,364",Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44"
10:30  -  10:44,60772562,Eastern,Petauke,Rural,Female,1,None,C1,Completed high School,Other Christian,Self employed,C2,"K 4,628   -  K 5,364",Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44"
10:15  -  10:29,60772562,Eastern,Petauke,Rural,Female,1,None,C1,Completed high School,Other Christian,Self employed,C2,"K 4,628   -  K 5,364",Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44"
15:00  -  15:14,60773866,Eastern,Petauke,Rural,Female,0,None,D,Some high school,Other Christian,Working Full-Time,D,Under K 849,Yes,25 – 34,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59"
15:45  -  15:59,60773866,Eastern,Petauke,Rural,Female,0,None,D,Some high school,Other Christian,Working Full-Time,D,Under K 849,Yes,25 – 34,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59"
15:30  -  15:44,60773866,Eastern,Petauke,Rural,Female,0,None,D,Some high school,Other Christian,Working Full-Time,D,Under K 849,Yes,25 – 34,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59"
15:15  -  15:29,60773866,Eastern,Petauke,Rural,Female,0,None,D,Some high school,Other Christian,Working Full-Time,D,Under K 849,Yes,25 – 34,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59"
12:00  -  12:14,60832103,Eastern,Petauke,Rural,Female,1,None,D,Some high school,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,Yes,15 – 18,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59"
12:45  -  12:59,60832103,Eastern,Petauke,Rural,Female,1,None,D,Some high school,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,Yes,15 – 18,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59"
12:30  -  12:44,60832103,Eastern,Petauke,Rural,Female,1,None,D,Some high school,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,Yes,15 – 18,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59"
12:15  -  12:29,60832103,Eastern,Petauke,Rural,Female,1,None,D,Some high school,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,Yes,15 – 18,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59"
12:00  -  12:14,60832106,Eastern,Petauke,Rural,Female,0,None,D,Some high school,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,Yes,25 – 34,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
