Yar analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Yar
12:30  -  12:44,60712979,Copperbelt,Chingola,Urban,Male,1,None,C1,Some high school,Other Christian,Self employed,D,"K 1675- K2,499",Yes,25 – 34,",,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,,,,,"
12:45  -  12:59,60712979,Copperbelt,Chingola,Urban,Male,1,None,C1,Some high school,Other Christian,Self employed,D,"K 1675- K2,499",Yes,25 – 34,",,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,,,,,"
11:45  -  11:59,60712979,Copperbelt,Chingola,Urban,Male,1,None,C1,Some high school,Other Christian,Self employed,D,"K 1675- K2,499",Yes,25 – 34,",,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,,,,,"
7:15  -  7:29,60713031,Copperbelt,Kitwe,Urban,Male,3,None,C1,Completed high School,Anglican/Protestant,Student,C1,"K 1675- K2,499",Yes,19 – 24,",,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,,,,,"
7:45  -  7:59,60713031,Copperbelt,Kitwe,Urban,Male,3,None,C1,Completed high School,Anglican/Protestant,Student,C1,"K 1675- K2,499",Yes,19 – 24,",,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,,,,,"
7:30  -  7:44,60713031,Copperbelt,Kitwe,Urban,Male,3,None,C1,Completed high School,Anglican/Protestant,Student,C1,"K 1675- K2,499",Yes,19 – 24,",,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,,,,,"
7:00  -  7:14,60713031,Copperbelt,Kitwe,Urban,Male,3,None,C1,Completed high School,Anglican/Protestant,Student,C1,"K 1675- K2,499",Yes,19 – 24,",,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,,,,,"
6:30  -  6:44,60713033,Copperbelt,Kitwe,Urban,Male,1,None,AB,Completed high School,Others,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,19 – 24,",,,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,,,,"
7:15  -  7:29,60713033,Copperbelt,Kitwe,Urban,Male,1,None,AB,Completed high School,Others,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,19 – 24,",,,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,,,,"
7:45  -  7:59,60713033,Copperbelt,Kitwe,Urban,Male,1,None,AB,Completed high School,Others,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,19 – 24,",,,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,,,,"
7:30  -  7:44,60713033,Copperbelt,Kitwe,Urban,Male,1,None,AB,Completed high School,Others,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,19 – 24,",,,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,,,,"
6:45  -  6:59,60713033,Copperbelt,Kitwe,Urban,Male,1,None,AB,Completed high School,Others,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,19 – 24,",,,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,,,,"
7:00  -  7:14,60713033,Copperbelt,Kitwe,Urban,Male,1,None,AB,Completed high School,Others,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,19 – 24,",,,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,,,,"
6:15  -  6:29,60713033,Copperbelt,Kitwe,Urban,Male,1,None,AB,Completed high School,Others,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,19 – 24,",,,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,,,,"
6:00  -  6:14,60713033,Copperbelt,Kitwe,Urban,Male,1,None,AB,Completed high School,Others,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,19 – 24,",,,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,,,,"
