SbjNum,TOM - Radio Spontaneous Awareness,Other Mentions - Radio Spontaneous Awareness,Radio Prompted Awareness,Ever Listened to Radio,Radio Listeners (Yesterday),Radio Listeners (P7D - Past 7 Days),Radio Listeners (P4W) - Past 4 Weeks,Radio Listeners (P12M) - Past 12 Months
60888451,"Lutanda,Kwithu FM,Radio Mano,Nothern FM,Radio 1,", ,"BBC,Parliament,Radio 2,Radio 4,Radio Christian Voice,","BBC,Lutanda,Kwithu FM,Radio Mano,Nothern FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,",None,"Lutanda,Kwithu FM,Radio Mano","Lutanda,Kwithu FM,Radio Mano,Nothern FM,Radio 1","Lutanda,Kwithu FM,Radio Mano,Nothern FM,Radio 1"
60888452,"BBC,Lutanda,Kwithu FM,Radio Mano,Nothern FM,Parliament,Radio 1,Radio 2,Radio Christian Voice,", ,"Radio 4,","BBC,Lutanda,Kwithu FM,Radio Mano,Nothern FM,Radio 1",None,"Lutanda,Kwithu FM,Radio Mano,Nothern FM","Lutanda,Kwithu FM,Radio Mano,Nothern FM,Radio 1","Lutanda,Kwithu FM,Radio Mano,Nothern FM,Radio 1"
60888453,"Lutanda,Kwithu FM,Radio Mano,Nothern FM,Radio 1,", ,"BBC,Parliament,Radio 2,Radio 4,Radio Christian Voice,","BBC,Lutanda,Kwithu FM,Radio Mano,Nothern FM,Parliament,Radio 1,Radio 2,Radio 4,Radio Christian Voice",None,"Lutanda,Kwithu FM,Radio Mano,Nothern FM","Lutanda,Kwithu FM,Radio Mano,Nothern FM","Lutanda,Kwithu FM,Radio Mano,Nothern FM,Radio 1"
82003831,"Falls,Mosi-0-Tunya,Zambezi", ,"BBC,Parliament,QFM,Radio 2,Radio 4,Radio Christian Voice,Choma Maano,Q FM,SKY","Radio 2,Radio 4,Radio Christian Voice,Falls,Mosi-0-Tunya,SKY,Zambezi", ,"Mosi-0-Tunya,Zambezi",Falls,"Radio 2,Radio 4"
82005311,"Mosi-0-Tunya,Zambezi", ,"Radio 4,Radio Christian Voice,Namwiaanga,SKY,Sun FM","Radio 4,Mosi-0-Tunya,Zambezi", ,Mosi-0-Tunya,Radio 4, 
82006682,"Radio 1,Radio 2,Breeze,Feel Free,Maria", ,"BBC,Parliament,QFM,Chikaya,Isoka,Mphangwe,Petauke Explorers","BBC,Parliament,QFM,Radio 1,Radio 2,Breeze,Chikaya,Feel Free,Isoka,Maria,Mphangwe,Petauke Explorers,","Radio 1,Radio 2,Breeze,Feel Free,Maria", ,BBC, 
82006683,"BBC,Parliament,QFM,Radio 1,Radio 2,Radio 4,Breeze,Chikaya,Chongwe,Feel Free,Isoka,Maria,Mphangwe,PASME,Petauke Explorers,Radio Café", ,None,"Radio 1,Radio 2,Breeze,Feel Free,Maria",Breeze,Radio 2,Maria,"Radio 1,Feel Free"
82008677,"SKY,Zambezi", ,"BBC,Radio 2,Radio Christian Voice,Chikuni,Choma Maano,Falls,Kariba,Mazabuka,Mosi-0-Tunya","Chikuni,SKY,Zambezi", , , , 
82009407,"QFM,Radio 4,Radio Christian Voice,Mosi-0-Tunya,Zambezi", ,"BBC,Parliament,Radio 2,Falls,Q FM","Radio 4,Radio Christian Voice,Q FM,Zambezi,", , ,Radio Christian Voice,"Radio 4,Q FM,Zambezi"
82013391,"Radio 1,Radio 2,Breeze,Chikaya,Feel Free", ,"QFM,Radio 4,Maria,Mphangwe",None, , , , 
82013392,"BBC,Parliament,QFM,Radio 1,Radio 2,Breeze,Feel Free,Maria,Petauke Explorers,Valley", ,"Chikaya,Mphangwe,Radio Café",QFM,QFM, , , 
82016176,Mosi-0-Tunya, ,"BBC,Parliament,Radio 2,Radio 4,Radio Christian Voice,Chikuni,Choma Maano,Falls,Mazabuka,SKY,Sun FM,New Generation",Mosi-0-Tunya,Mosi-0-Tunya, , , 
82016600,"QFM,Radio 1,Breeze,Feel Free,Maria", ,"BBC,Parliament,Radio 2,Radio 4,Chikaya,Mphangwe","Breeze,Feel Free,Maria","Breeze,Feel Free,Maria", , , 
82020882,"Radio 1,Radio 2,Radio 4,Mosi-0-Tunya", ,"BBC,Byta,Falls,SKY",None, , , , 
82024076,"Radio 1,Radio 2,Chikuni,Mosi-0-Tunya,Zambezi", ,"BBC,Radio 4,Radio Christian Voice,Namwiaanga,SKY,Voice of Kalomo","BBC,Radio 4,SKY", ,"BBC,Radio 4,SKY", , 
82024077,"Mosi-0-Tunya,SKY", ,"BBC,Parliament,QFM,Radio 2,Radio 4,Radio Christian Voice,Chikuni,Falls,Zambezi","BBC,Parliament,QFM,Radio 2,Radio 4,Radio Christian Voice,Chikuni,Falls,Mosi-0-Tunya,SKY,Zambezi", ,"QFM,Radio 2,Radio 4,SKY",Parliament,Radio Christian Voice
82033089,"QFM,Radio 1,Radio 2,Breeze,Feel Free,Maria", ,BBC,"BBC,QFM,Radio 1,Radio 2,Breeze,Feel Free,Maria",QFM,"Radio 1,Radio 2,Breeze,Feel Free,Maria", , 
82033090,"Breeze,Feel Free,Maria", ,"BBC,QFM,Radio 2","Breeze,Feel Free,Maria", , ,"Breeze,Maria",Feel Free
82033093,"Feel Free,Maria", ,"BBC,Radio 2,Breeze","Radio 2,Breeze,Feel Free,Maria,","Breeze,Feel Free,Maria",Radio 2, , 
82033095,"Breeze,Feel Free", ,Maria,"Breeze,Feel Free,Maria",Feel Free,"Breeze,Maria", , 
82033096,"Breeze,Feel Free,Maria", ,QFM,"QFM,Breeze,Feel Free,Maria,",Breeze,"QFM,Maria",Feel Free, 
82033097,"Breeze,Maria", ,Feel Free,don’t know, , , , 
82033098,"Radio 1,Breeze,Feel Free,Maria", ,Radio 2,"Radio 1,Radio 2,Breeze,Feel Free,Maria","Radio 1,Breeze,Feel Free,Maria",Radio 2, , 
82088474,"Radio 1,Radio 4,Chikuni,Mosi-0-Tunya,SKY", ,"BBC,QFM,Radio 2,Radio Christian Voice,Falls,Mazabuka,Q FM,Sun FM,Zambezi","Radio 1,Mosi-0-Tunya,","Radio 1,Mosi-0-Tunya", , , 
82088904,"Chimwemwe,Icengelo", ,Radio Christian Voice,"Chimwemwe,Icengelo,",Chimwemwe,Icengelo, , 
82089608,"Radio 4,Radio Christian Voice", ,Phoenix,Radio Christian Voice, ,Radio Christian Voice, , 
82090749,"BBC,Flava FM,Icengelo,Kokoliko,Parliament,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Radio Mpongwe,Rise FM,Sun,Yar", ,Baptist Faith,"Icengelo,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Yar,",Icengelo,"Radio 1,Radio 2,Radio 4", ,Yar
82091147,"Radio 1,Radio 2,Radio Christian Voice,Mosi-0-Tunya,Zambezi", ,"BBC,Parliament,QFM,Radio 4,Falls,Q FM,SKY,Sun FM","Radio 1,Mosi-0-Tunya,Zambezi",Radio 1,Zambezi,Mosi-0-Tunya, 
82091969,"Chimwemwe,Icengelo,Phoenix", ,None,Chimwemwe,Chimwemwe, , , 
82091970,"Radio 1,Radio 2,Radio 4,Radio Christian Voice,FCC Solwezi,Kabangabanga", ,BBC,"Radio 1,Radio 2,Radio 4,FCC Solwezi,Kabangabanga",Kabangabanga,FCC Solwezi,"Radio 1,Radio 2,Radio 4", 
82092535,"QFM,Mosi-0-Tunya", ,"BBC,Radio 2,Radio 4,Radio Christian Voice,Chikuni,Falls,Kariba,Q FM,SKY,Sun FM,Zambezi","QFM,Radio 2,Falls,Mosi-0-Tunya,SKY", ,"QFM,Radio 2,Falls,Mosi-0-Tunya,SKY", , 
82092537,"QFM,Chikuni,Mosi-0-Tunya,Zambezi", ,"Radio 2,Radio 4,Radio Christian Voice,Falls,SKY","QFM,Radio 2,Radio 4,Mosi-0-Tunya,Zambezi","Mosi-0-Tunya,Zambezi","Radio 2,Radio 4",QFM, 
82093272,"BBC,Flava FM,Icengelo,Parliament,Phoenix,QFM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Radio Mpongwe,Sun,Yar", ,None,"Icengelo,QFM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Sun,Yar,",Icengelo, ,QFM,"Radio 1,Radio 2,Radio 4,Radio Christian Voice,Sun,Yar"
82094391,"Chimwemwe,Icengelo,Sun", ,None,Chimwemwe,Chimwemwe, , , 
82095349,"Radio 2,Radio 4,Radio Christian Voice,Falls,Mosi-0-Tunya,SKY", ,"QFM,Q FM,Young Generation,Zambezi","QFM,Radio Christian Voice,Mosi-0-Tunya,SKY,Zambezi",Mosi-0-Tunya,"QFM,Radio Christian Voice,SKY",Zambezi, 
