SbjNum,Bank Ever used,Other Banks Ever used,Banks Currently Used,Bank Most Often Used,AB Bank Zambia Limited,Access Bank Zambia Limited,BancABC Zambia Limited,Bank of China (Zambia) Limited,Barclays Bank Zambia Plc,Cavmont Bank,Citibank Zambia Limited,Ecobank Zambia Limited,Finance Bank Zambia Limited,First Alliance Bank Zambia Limited,First National Bank of Zambia Limted (FNB),Indo-Zambia Bank Limited,Intermarket Bank,International Commercial Bank,Investrust Bank Plc,Stanbic Bank Zambia Limited,Standard Chartered Bank Zambia Plc,United Bank for Africa Zambia Limited,ZANACO (Zambia National Commercial Bank Plc),Bank of Zambia,{0},None
60576747,ZANACO (Zambia National Commercial Bank Plc), ,ZANACO (Zambia National Commercial Bank Plc),ZANACO (Zambia National Commercial Bank Plc),,,,,,,,,,,,,,,,,,,Very dissatisfied,,,
60578058,First National Bank of Zambia Limted (FNB), ,First National Bank of Zambia Limted (FNB),First National Bank of Zambia Limted (FNB),,,,,,,,,,,Satisfied,,,,,,,,,,,
60578278,ZANACO (Zambia National Commercial Bank Plc), ,ZANACO (Zambia National Commercial Bank Plc),ZANACO (Zambia National Commercial Bank Plc),,,,,,,,,,,,,,,,,,,Very satisfied,,,
60578378,None, ,,,,,,,,,,,,,,,,,,,,,,,,
60578379,None, ,,,,,,,,,,,,,,,,,,,,,,,,
60578380,None, ,,,,,,,,,,,,,,,,,,,,,,,,
60578498,None, ,,,,,,,,,,,,,,,,,,,,,,,,
60578499,None, ,,,,,,,,,,,,,,,,,,,,,,,,
60578500,None, ,,,,,,,,,,,,,,,,,,,,,,,,
60578547,Other (specify),nat save,{0},{0},,,,,,,,,,,,,,,,,,,,,Satisfied,
60578701,None, ,,,,,,,,,,,,,,,,,,,,,,,,
60578819,None, ,,,,,,,,,,,,,,,,,,,,,,,,
60579212,None, ,,,,,,,,,,,,,,,,,,,,,,,,
60580042,None, ,,,,,,,,,,,,,,,,,,,,,,,,
60580247,None, ,,,,,,,,,,,,,,,,,,,,,,,,
60580371,ZANACO (Zambia National Commercial Bank Plc), ,ZANACO (Zambia National Commercial Bank Plc),ZANACO (Zambia National Commercial Bank Plc),,,,,,,,,,,,,,,,,,,Satisfied,,,
60580544,Standard Chartered Bank Zambia Plc, ,Standard Chartered Bank Zambia Plc,Standard Chartered Bank Zambia Plc,,,,,,,,,,,,,,,,,Very satisfied,,,,,
60580917,None, ,,,,,,,,,,,,,,,,,,,,,,,,
60580918,Investrust Bank Plc, ,Investrust Bank Plc,Investrust Bank Plc,,,,,,,,,,,,,,,Satisfied,,,,,,,
60580919,None, ,,,,,,,,,,,,,,,,,,,,,,,,
60580920,"Finance Bank Zambia Limited,Standard Chartered Bank Zambia Plc,ZANACO (Zambia National Commercial Bank Plc)", ,ZANACO (Zambia National Commercial Bank Plc),ZANACO (Zambia National Commercial Bank Plc),,,,,,,,,Satisfied,,,,,,,,Satisfied,,Satisfied,,,
60581019,None, ,,,,,,,,,,,,,,,,,,,,,,,,
60581148,"First National Bank of Zambia Limted (FNB),ZANACO (Zambia National Commercial Bank Plc)", ,First National Bank of Zambia Limted (FNB),First National Bank of Zambia Limted (FNB),,,,,,,,,,,Satisfied,,,,,,,,Dissatisfied,,,
60581149,None, ,,,,,,,,,,,,,,,,,,,,,,,,
60581150,None, ,,,,,,,,,,,,,,,,,,,,,,,,
