SbjNum,Read or paged through a newspaper,Watched pay TV,Internet Users,Social Network Sites Users,Radio Listenership,Magazine Readership,TV Viewership,Watched Video/Movie using VCR,Watched VCD/ DVD,Music on CD,Music on IPOD/MP3 player,Watched pay TV e.g.DSTV,Email Access,Visit a Cinema,Sent SMS on Phone,Made a Call on Phone,Mobile Cinema or Projected,Book Reader,Promotion participant,Newspaper Online Readership,Radio Listenership - Mobile Phone,Promotion participant - SMS,Radio/TV Talk Show participant - SMS,Radio/TV Talk Show participant - Call,Attended/Participated in a road show,Community Education Meeting,Stereo tape,Watched Free to Air,Sent SMS using Internet
60709856,Yesterday,Yesterday,Yesterday,Yesterday,Yesterday,Past 12 Months,Yesterday,Never,Past 12 Months,Past 7 Days,Past 12 Months,Yesterday,Yesterday,Never,Yesterday,Yesterday,Never,Past 7 Days,Never,Past 7 Days,Yesterday,Never,Past 7 Days,Never,Past 4 Weeks,Never,Never,Past 12 Months,Yesterday
60709863,Never,Never,Never,Never,Past 12 Months,Never,Past 12 Months,Never,Never,Never,Never,Never,Never,Never,Yesterday,Yesterday,Never,Never,Yesterday,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
60710335,Past 12 Months,Past 12 Months,Never,Never,Past 12 Months,Past 12 Months,Past 12 Months,Past 12 Months,Past 12 Months,Past 12 Months,Past 12 Months,Past 12 Months,Never,Never,Yesterday,Yesterday,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
60710946,Never,Past 7 Days,Never,Never,Yesterday,Past 12 Months,Yesterday,Past 12 Months,Past 12 Months,Never,Never,Past 7 Days,Never,Never,Past 7 Days,Yesterday,Never,Past 4 Weeks,Past 12 Months,Never,Past 7 Days,Never,Never,Never,Never,Past 4 Weeks,Never,Never,Never
60711133,Past 12 Months,Yesterday,Yesterday,Past 7 Days,Past 4 Weeks,Yesterday,Yesterday,Never,Yesterday,Yesterday,Never,Yesterday,Never,Never,Yesterday,Yesterday,Never,Yesterday,Never,Never,Past 12 Months,Never,Never,Never,Never,Never,Never,Never,Never
60711134,Yesterday,Yesterday,Never,Never,Yesterday,Past 7 Days,Yesterday,Never,Past 4 Weeks,Past 4 Weeks,Never,Yesterday,Never,Never,Yesterday,Yesterday,Never,Yesterday,Never,Never,Never,Never,Never,Never,Never,Past 7 Days,Never,Never,Never
60711135,Never,Yesterday,Never,Yesterday,Past 12 Months,Never,Yesterday,Never,Past 4 Weeks,Past 4 Weeks,Never,Yesterday,Never,Never,Yesterday,Yesterday,Never,Past 4 Weeks,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
60711381,Never,Never,Never,Never,Past 12 Months,Never,Past 12 Months,Never,Never,Never,Never,Never,Never,Never,Yesterday,Yesterday,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
60711387,Never,Yesterday,Never,Never,Past 12 Months,Never,Yesterday,Never,Past 7 Days,Past 7 Days,Never,Yesterday,Past 12 Months,Never,Past 4 Weeks,Yesterday,Never,Past 7 Days,Past 12 Months,Never,Yesterday,Never,Never,Never,Never,Never,Never,Past 12 Months,Never
60711777,Past 12 Months,Never,Never,Never,Past 12 Months,Never,Past 12 Months,Never,Never,Never,Never,Never,Never,Never,Yesterday,Yesterday,Never,Never,Never,Never,Past 12 Months,Never,Never,Never,Never,Past 12 Months,Never,Never,Never
60711778,Past 12 Months,Past 12 Months,Past 12 Months,Never,Past 12 Months,Never,Past 12 Months,Never,Never,Never,Never,Past 12 Months,Never,Never,Yesterday,Yesterday,Never,Never,Never,Never,Past 12 Months,Never,Never,Never,Never,Past 12 Months,Never,Never,Past 12 Months
60711779,Never,Past 12 Months,Never,Never,Past 7 Days,Never,Past 4 Weeks,Never,Never,Never,Never,Past 12 Months,Never,Never,Yesterday,Yesterday,Never,Never,Never,Never,Past 7 Days,Never,Never,Never,Never,Never,Never,Never,Never
60711780,Past 12 Months,Never,Never,Never,Past 4 Weeks,Never,Past 12 Months,Never,Never,Never,Never,Never,Never,Never,Past 7 Days,Past 7 Days,Never,Never,Never,Never,Past 12 Months,Never,Never,Never,Never,Never,Never,Never,Never
60711781,Never,Never,Yesterday,Yesterday,Yesterday,Never,Past 12 Months,Never,Never,Never,Never,Never,Never,Never,Yesterday,Yesterday,Never,Never,Never,Never,Past 4 Weeks,Never,Never,Never,Never,Past 12 Months,Never,Never,Yesterday
60711782,Never,Yesterday,Past 7 Days,Past 7 Days,Past 4 Weeks,Never,Past 7 Days,Never,Never,Never,Never,Yesterday,Never,Never,Yesterday,Yesterday,Never,Yesterday,Never,Never,Past 4 Weeks,Never,Never,Never,Never,Never,Never,Never,Past 7 Days
60711783,Never,Past 12 Months,Never,Past 12 Months,Never,Never,Past 12 Months,Never,Never,Never,Never,Past 12 Months,Never,Never,Yesterday,Yesterday,Never,Past 12 Months,Never,Never,Past 12 Months,Never,Never,Never,Never,Never,Never,Never,Past 12 Months
60712007,Past 4 Weeks,Yesterday,Yesterday,Yesterday,Yesterday,Past 7 Days,Yesterday,Never,Past 12 Months,Past 12 Months,Past 7 Days,Yesterday,Never,Never,Yesterday,Yesterday,Never,Yesterday,Never,Never,Past 7 Days,Never,Never,Never,Never,Never,Never,Never,Yesterday
60712336,Past 12 Months,Yesterday,Never,Never,Yesterday,Never,Yesterday,Never,Past 4 Weeks,Past 4 Weeks,Never,Yesterday,Never,Never,Yesterday,Yesterday,Never,Past 4 Weeks,Never,Never,Past 4 Weeks,Never,Never,Never,Never,Never,Never,Never,Never
60712972,Past 12 Months,Past 4 Weeks,Never,Never,Past 4 Weeks,Never,Yesterday,Never,Past 12 Months,Never,Past 4 Weeks,Past 4 Weeks,Never,Never,Yesterday,Yesterday,Never,Past 12 Months,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
60712973,Past 12 Months,Past 12 Months,Yesterday,Never,Yesterday,Past 7 Days,Yesterday,Never,Yesterday,Past 12 Months,Past 7 Days,Past 12 Months,Never,Never,Yesterday,Yesterday,Never,Yesterday,Past 12 Months,Past 12 Months,Yesterday,Never,Never,Never,Never,Never,Never,Never,Yesterday
60712974,Past 12 Months,Past 12 Months,Never,Never,Past 7 Days,Never,Yesterday,Never,Never,Past 12 Months,Past 12 Months,Past 12 Months,Never,Never,Yesterday,Yesterday,Never,Yesterday,Never,Never,Never,Never,Never,Never,Never,Never,Never,Past 12 Months,Never
60712975,Past 12 Months,Yesterday,Never,Never,Past 4 Weeks,Never,Yesterday,Never,Past 12 Months,Past 12 Months,Past 12 Months,Yesterday,Never,Never,Never,Never,Never,Past 4 Weeks,Never,Never,Yesterday,Past 12 Months,Past 12 Months,Never,Never,Never,Past 12 Months,Never,Never
60712976,Past 12 Months,Yesterday,Never,Never,Past 7 Days,Past 12 Months,Yesterday,Past 12 Months,Past 12 Months,Past 7 Days,Yesterday,Yesterday,Never,Never,Past 7 Days,Yesterday,Never,Past 12 Months,Never,Never,Past 4 Weeks,Never,Never,Never,Never,Never,Past 12 Months,Past 12 Months,Never
