SbjNum,Mobile Money Providers/MSP Awareness,Mobile Money Providers/MSP registered with or Used',Q64.      Other Mobile Money Providers/MSP registered with or Used',Airtel (Airtel Money),MTN (MTN Mobile Money),Zamtel,Zoona,Zanaco (Zapit),FNB (ewallet),Shoprite,Zampost,{0},None,Airtel (Airtel Money),Ever Used Airtel (Airtel Money),MTN (MTN Mobile Money),Ever Used MTN (MTN Mobile Money),Zamtel,Ever Used Zamtel,Zoona,Ever Used Zoona,Zanaco (Zapit),Ever Used Zanaco (Zapit),FNB (ewallet),Ever Used FNB (ewallet),Shoprite,Ever Used Shoprite,Zampost,Ever Used Zampost,{0},Ever Used {0},None,None,#N/A,Airtel (Airtel Money),MTN (MTN Mobile Money),Zamtel,Zoona,Zanaco (Zapit),FNB (ewallet),Shoprite,Zampost,{0},None
60519022,Yes,"MTN (MTN Mobile Money),Shoprite", ,,No,,,,,Yes,,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,,,,,,,,,,
60519023,Yes,"Zoona,Shoprite", ,,,,Yes,,,Yes,,,,, ,, ,, ,Sent money by SMS to another mobile number, ,, ,, ,"Sent money by SMS to another mobile number,Withdrawn money", ,, ,, ,, ,,,,,Satisfied,,,Satisfied,,,
60519024,Yes,"Zoona,Shoprite", ,,,,Yes,,,Yes,,,,, ,, ,, ,"Sent money by SMS to another mobile number,Withdrawn money", ,, ,, ,"Sent money by SMS to another mobile number,Withdrawn money", ,, ,, ,, ,,,,,Satisfied,,,Satisfied,,,
60524230,Yes,"Airtel (Airtel Money),MTN (MTN Mobile Money),Zoona,Shoprite", ,Yes,Yes,,Yes,,,Yes,,,,"Recharged your airtime,Paid a bill,Sent money by SMS to another mobile number,Sent money to a bank account,Withdrawn money", ,"Recharged your airtime,Paid a bill,Sent money by SMS to another mobile number,Withdrawn money", ,, ,"Withdrawn money,Sent money by SMS to another mobile number", ,, ,, ,Withdrawn money, ,, ,, ,, ,,Satisfied,Satisfied,,Satisfied,,,Satisfied,,,
60524231,Yes,Zanaco (Zapit), ,,,,,Yes,,,,,,, ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,,,,,Satisfied,,,,,
60524419,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,"Recharged your airtime,Withdrawn money,Sent money by SMS to another mobile number", ,, ,, ,, ,, ,, ,, ,, ,, ,,,Satisfied,,,,,,,,
60524420,Yes,Airtel (Airtel Money), ,Yes,,,,,,,,,,"Recharged your airtime,Withdrawn money", ,, ,, ,, ,, ,, ,, ,, ,, ,, ,,Satisfied,,,,,,,,,
60524421,Yes,None, ,,,,,,,,,,No,, ,, ,, ,, ,, ,, ,, ,, ,, ,Haven’t used any services, ,,,,,,,,,,,Neither satisfied nor dissatisfied
60524422,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,Other (specify), ,, ,, ,, ,, ,, ,, ,, ,, ,,,Dissatisfied,,,,,,,,
60524423,Yes,MTN (MTN Mobile Money), ,,Yes,,,,,,,,,, ,"Recharged your airtime,Withdrawn money", ,, ,, ,, ,, ,, ,, ,, ,, ,,,Neither satisfied nor dissatisfied,,,,,,,,
