SbjNum,Monthly or Quarterly Magazines Ever Read,Other Monthly or Quarterly Magazines Ever Read,Beauty Magazine,The Marketer,Farmers Magazine,Zambian Woman,Strikers Magazine,Sport Light Magazine,Bulletin and Record,Corporate Face,The Zambian Marketer,Nkhani Kulture,Media 4 Africa,LIF (Let it Flow),Nkwazi in Flight,Solwezi Today,ZBC,The Entrepreneur,Commercial Gazette,Partners Guide,Low Down,The Agent,{0},None,Don't Know,Beauty Magazine,The Marketer,Farmers Magazine,Zambian Woman,Strikers Magazine,Sport Light Magazine,Bulletin and Record,Corporate Face,The Zambian Marketer,Nkhani Kulture,Media 4 Africa,LIF (Let it Flow),Nkwazi in Flight,Solwezi Today,ZBC,The Entrepreneur,Commercial Gazette,Partners Guide,Low Down,The Agent,{0},None,Don't Know
60540117,None, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60540118,Don't Know, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60540119,None, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60540120,Others,Lifestyle magazine,,,,,,,,,,,,,,,,,,,,,Longer Ago,,,,,,,,,,,,,,,,,,,,,,,6,,
60540121,"Beauty Magazine,Others",Recipe magazines,4-7 days ago,,,,,,,,,,,,,,,,,,,,4-7 days ago,,,10+,,,,,,,,,,,,,,,,,,,,10+,,
60540122,None, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60540123,None, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60540326,Beauty Magazine, ,Last month,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,
60540719,None, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60540720,None, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60540721,None, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60540722,None, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60540723,None, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60540724,None, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60540725,None, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60540726,None, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60540727,Others,religious magazine,,,,,,,,,,,,,,,,,,,,,Yesterday,,,,,,,,,,,,,,,,,,,,,,,3,,
60541393,None, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60541600,None, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60541872,Don't Know, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60541873,None, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60541874,Don't Know, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60541875,Farmers Magazine, ,,,Longer Ago,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,,,,,,,,
60541876,None, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60541877,Don't Know, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60541878,None, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60541879,Don't Know, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60541904,None, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60542679,None, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60543022,Others,Digi print magazine,,,,,,,,,,,,,,,,,,,,,Longer Ago,,,,,,,,,,,,,,,,,,,,,,,2,,
60543023,None, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60543024,Don't Know, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60543025,Don't Know, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60543026,None, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60543321,Sport Light Magazine, ,,,,,,4-7 days ago,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
60543322,None, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60543324,None, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60543325,None, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60543326,Beauty Magazine, ,Longer Ago,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
60543327,None, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60543328,None, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60543874,Beauty Magazine, ,Longer Ago,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
60548541,None, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60549183,Sport Light Magazine, ,,,,,,4-7 days ago,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,
60549600,Don't Know, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60549601,Don't Know, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60549602,None, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60549603,None, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60549604,None, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60549605,None, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60549710,Don't Know, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60549711,None, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60549712,Others,Fashion Magazines,,,,,,,,,,,,,,,,,,,,,4-7 days ago,,,,,,,,,,,,,,,,,,,,,,,1,,
60549713,None, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60549714,Don't Know, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60549715,Others,Fashion Magazines,,,,,,,,,,,,,,,,,,,,,Longer Ago,,,,,,,,,,,,,,,,,,,,,,,1,,
60550261,Others,Christianity related magazine,,,,,,,,,,,,,,,,,,,,,Yesterday,,,,,,,,,,,,,,,,,,,,,,,5,,
60550361,None, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60550362,None, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60550363,None, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60550364,None, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60550365,None, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60550366,None, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60550986,Zambian Woman, ,,,,Longer Ago,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
60551587,None, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60551800,None, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60552083,Nkwazi in Flight, ,,,,,,,,,,,,,Longer Ago,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,
60552219,Don't Know, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60552946,None, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60553081,None, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60553130,Others,trade settter and ichengelo,,,,,,,,,,,,,,,,,,,,,Last month,,,,,,,,,,,,,,,,,,,,,,,4,,
60553131,Don't Know, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60553775,None, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60553776,None, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60553921,"Farmers Magazine,Zambian Woman", ,,,Longer Ago,Longer Ago,,,,,,,,,,,,,,,,,,,,,,4,5,,,,,,,,,,,,,,,,,,,
60553922,None, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60554675,None, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60554815,None, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60554971,None, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60555110,None, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60555311,None, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60555743,None, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
