SbjNum,Internet Service providers P4W,Main Internet Service providers/download P4W,Bought Digital Content using your Mobile Device,Service Providers - Bought Digital Content using your Mobile Device,Service Providers - Will Consider to Buy Digital Content using Mobile Device,Overall Best Service provider of Digital Content for your mobile device,Airtel,MTN,Vodafone,Zamtel,{0}
60556261,,,,,,,,,,,
60556427,,,,,,,,,,,
60556428,,,,,,,,,,,
60556558,Zamtel,Zamtel,Yes,Don’t know / unsure,Amazon: Amazon AppStore,Amazon: Amazon AppStore,,,,Best value,
60558612,MTN,MTN,Yes,Google: Google Play Store,Blackberry: Blackberry World,Blackberry: Blackberry World,,Ease of payment,,,
60558636,,,Yes,Other,Google: Google Play Store,Google: Google Play Store,,,,,
60558637,,,,,,,,,,,
60558638,Airtel,Airtel,Yes,Other,Don’t know / unsure,,Best value,,,,
60558639,,,,,,,,,,,
60558640,Airtel,Airtel,Yes,Other,Google: Google Play Store,Google: Google Play Store,Easy to download,,,,
60558982,,,,,,,,,,,
60558985,,,,,,,,,,,
60559081,"MTN,Zamtel,",MTN,Unsure / Don’t know,,Google: Google Play Store,Google: Google Play Store,,Best value,,Best value,
60559082,,,,,,,,,,,
60559105,,,No,,Don’t know / unsure,,,,,,
60559106,Airtel,Airtel,Yes,Google: Google Play Store,Apple: iOS App Store / iTunes Store,Apple: iOS App Store / iTunes Store,Ease of use,,,,
60559161,MTN,MTN,No,,MTN: MTN Play,MTN: MTN Play,,Best value,,,
60559162,MTN,MTN,Yes,MTN: MTN Play,Don’t know / unsure,,,Best value,,,
60559165,"MTN,Zamtel,",Zamtel,Yes,"Google: Google Play Store,MTN: MTN Play,Zamtel Games Club",Microsoft: Windows App Store,Microsoft: Windows App Store,,Best value,,Best value,
60559241,Zamtel,Zamtel,Yes,Don’t know / unsure,eBay,eBay,,,,Best value,
60559883,"Airtel,MTN,",Airtel,No,,Don’t know / unsure,,Otherplease specify,Easy to download,,,
60559884,,,,,,,,,,,
60560017,Airtel,Airtel,No,,Apple: iOS App Store / iTunes Store,Apple: iOS App Store / iTunes Store,Best value,,,,
60560018,MTN,MTN,Yes,Apple: iOS App Store / iTunes Store,Google: Google Play Store,Google: Google Play Store,,Best value,,,
60560019,,,No,,Google: Google Play Store,Google: Google Play Store,,,,,
60560263,MTN,MTN,Yes,Google: Google Play Store,Don’t know / unsure,,,Best for my device,,,
60560264,"MTN,Zamtel,",MTN,Yes,Google: Google Play Store,"Apple: iOS App Store / iTunes Store,Microsoft: Windows App Store,",Apple: iOS App Store / iTunes Store,,Easy to download,,Otherplease specify,
60560265,,,No,,Google: Google Play Store,Google: Google Play Store,,,,,
60560266,Zamtel,Zamtel,Yes,Google: Google Play Store,Blackberry: Blackberry World,Blackberry: Blackberry World,,,,Best value,
60560267,MTN,MTN,Yes,Google: Google Play Store,Don’t know / unsure,,,Best value,,,
60560376,Zamtel,Zamtel,Yes,"Microsoft: Windows App Store,Zamtel Games Club,eBay",Google: Google Play Store,Google: Google Play Store,,,,Best value,
60560778,,,,,,,,,,,
60560909,"Airtel,Zamtel,",Zamtel,Yes,Google: Google Play Store,Apple: iOS App Store / iTunes Store,Apple: iOS App Store / iTunes Store,Ease of payment,,,Ease of use,
60560910,Airtel,Airtel,Yes,Google: Google Play Store,Apple: iOS App Store / iTunes Store,Apple: iOS App Store / iTunes Store,Best value,,,,
60561650,MTN,MTN,Yes,eBay,Apple: iOS App Store / iTunes Store,Apple: iOS App Store / iTunes Store,,Easy to download,,,
60561765,MTN,MTN,No,,Don’t know / unsure,,,Best value,,,
60562093,Airtel,Airtel,Yes,"Google: Google Play Store,Amazon: Amazon AppStore,MTN: MTN Play","Apple: iOS App Store / iTunes Store,Microsoft: Windows App Store,",Apple: iOS App Store / iTunes Store,Best content,,,,
60562094,Airtel,Airtel,Yes,Google: Google Play Store,MTN: MTN Play,MTN: MTN Play,Ease of payment,,,,
60562095,Airtel,Airtel,Yes,Apple: iOS App Store / iTunes Store,Google: Google Play Store,Google: Google Play Store,Easy to download,,,,
60562096,Airtel,Airtel,Yes,Google: Google Play Store,Apple: iOS App Store / iTunes Store,Apple: iOS App Store / iTunes Store,Best content,,,,
60562097,"Airtel,MTN,",Airtel,No,,Airtel Live,Airtel Live,Best value,Best content,,,
60562098,,,,,,,,,,,
60562099,Airtel,Airtel,No,,Google: Google Play Store,Google: Google Play Store,Best for my device,,,,
60562100,Airtel,Airtel,Yes,"Google: Google Play Store,Blackberry: Blackberry World,Microsoft: Windows App Store",Apple: iOS App Store / iTunes Store,Apple: iOS App Store / iTunes Store,Ease of use,,,,
60562101,Airtel,Airtel,Yes,Google: Google Play Store,Apple: iOS App Store / iTunes Store,Apple: iOS App Store / iTunes Store,Widest range of content,,,,
60562109,,,,,,,,,,,
60562227,,,,,,,,,,,
60562228,,,,,,,,,,,
60562229,"Airtel,Zamtel,",Airtel,No,,"Google: Google Play Store,eBay,",Google: Google Play Store,Easy to download,,,Otherplease specify,
60562230,Airtel,Airtel,Unsure / Don’t know,,Google: Google Play Store,Google: Google Play Store,Easy to download,,,,
60562231,"Airtel,MTN,",MTN,No,,Don’t know / unsure,,Best content,Best value,,,
60562232,,,,,,,,,,,
60562800,MTN,MTN,Yes,Google: Google Play Store,Blackberry: Blackberry World,Blackberry: Blackberry World,,Best content,,,
60563529,Airtel,Airtel,Yes,"Google: Google Play Store,Amazon: Amazon AppStore,eBay,Other,",Microsoft: Windows App Store,Microsoft: Windows App Store,Easy to download,,,,
60563620,MTN,MTN,No,,Google: Google Play Store,Google: Google Play Store,,Best content,,,
60563621,,,,,,,,,,,
60563622,Airtel,Airtel,No,,Google: Google Play Store,Google: Google Play Store,Best content,,,,
60563623,,,,,,,,,,,
60563624,,,,,,,,,,,
60563625,,,,,,,,,,,
60563626,Airtel,Airtel,Yes,Google: Google Play Store,Amazon: Amazon AppStore,Amazon: Amazon AppStore,Best value,,,,
60563627,,,,,,,,,,,
60563628,,,,,,,,,,,
60563629,Airtel,Airtel,No,,Amazon: Amazon AppStore,Amazon: Amazon AppStore,Ease of use,,,,
60564342,Airtel,Airtel,No,,Google: Google Play Store,Google: Google Play Store,Widest range of content,,,,
60564875,,,,,,,,,,,
60564876,Airtel,Airtel,No,,Don’t know / unsure,,Best value,,,,
60564877,Airtel,Airtel,No,,Don’t know / unsure,,Best value,,,,
60564878,MTN,MTN,No,,Don’t know / unsure,,,Best value,,,
60564879,MTN,MTN,No,,eBay,eBay,,Best value,,,
60564880,MTN,MTN,No,,Don’t know / unsure,,,Best value,,,
60565711,Zamtel,Zamtel,Yes,"Google: Google Play Store,eBay,",Apple: iOS App Store / iTunes Store,Apple: iOS App Store / iTunes Store,,,,Ease of payment,
60566078,,,,,,,,,,,
60566079,,,,,,,,,,,
60566403,,,No,,Google: Google Play Store,Google: Google Play Store,,,,,
60566478,Airtel,Airtel,No,,Don’t know / unsure,,Easy to download,,,,
60566479,Airtel,Airtel,No,,Don’t know / unsure,,Easy to download,,,,
60566480,,,,,,,,,,,
60566481,Airtel,Airtel,Yes,eBay,Amazon: Amazon AppStore,Amazon: Amazon AppStore,Widest range of content,,,,
60567058,"Airtel,MTN,",MTN,Yes,Google: Google Play Store,Don’t know / unsure,,Otherplease specify,Easy to download,,,
60567059,Airtel,Airtel,No,,Don’t know / unsure,,Otherplease specify,,,,
60567060,,,,,,,,,,,
60567061,Zamtel,Zamtel,No,,Don’t know / unsure,,,,,Otherplease specify,
60567062,"Airtel,Zamtel,",Airtel,Yes,Apple: iOS App Store / iTunes Store,"Microsoft: Windows App Store,eBay,",eBay,Best value,,,Best content,
60567063,MTN,MTN,No,,Don’t know / unsure,,,Easy to download,,,
60567064,MTN,MTN,Yes,MTN: MTN Play,Don’t know / unsure,,,Ease of payment,,,
60567070,MTN,MTN,No,,Apple: iOS App Store / iTunes Store,Apple: iOS App Store / iTunes Store,,Best value,,,
60567071,,,No,,{0},{0},,,,,
60567072,,,No,,Don’t know / unsure,,,,,,
60567073,MTN,MTN,No,,MTN: MTN Play,MTN: MTN Play,,Best content,,,
60567074,MTN,MTN,No,,Google: Google Play Store,Google: Google Play Store,,Best content,,,
60567075,Zamtel,Zamtel,No,,Google: Google Play Store,Google: Google Play Store,,,,Best content,
60567076,,,No,,MTN: MTN Play,MTN: MTN Play,,,,,
60567077,,,,,,,,,,,
60567078,,,,,,,,,,,
60567079,"Airtel,MTN,",Airtel,Yes,Google: Google Play Store,"Microsoft: Windows App Store,eBay,",Microsoft: Windows App Store,Ease of use,Easy to download,,,
60567080,"Airtel,MTN,",MTN,No,,Google: Google Play Store,Google: Google Play Store,Best content,Best value,,,
60567100,,,,,,,,,,,
60567101,MTN,MTN,No,,{0},{0},,Best content,,,
60567102,Airtel,Airtel,No,,Google: Google Play Store,Google: Google Play Store,Ease of payment,,,,
60567103,MTN,MTN,No,,Google: Google Play Store,Google: Google Play Store,,Best content,,,
60567104,MTN,MTN,No,,eBay,eBay,,Best value,,,
60567105,"Airtel,MTN,",MTN,No,,Google: Google Play Store,Google: Google Play Store,Best content,Best value,,,
60567106,Airtel,Airtel,No,,Google: Google Play Store,Google: Google Play Store,Best content,,,,
